ITE_ITEM_TITLE,ITE_ITEM_TITLE_similar,Score Similitud
Tênis Olympikus Esporte Valente - Masculino Kids,Tênis Infantil Olympikus Valente Kids Masculino ,0.9
Tênis Olympikus Esporte Valente - Masculino Kids,Tênis Masculino Infantil Molekinho Esportivo 2831.113,0.9
Bicicleta Barra Forte Samy C/ 6 Marchas Cubo C/ Rolamento,Sapatilha Neoprene Ciclismo Bike Caminhada Corrida Cravo,0.6
Bicicleta Barra Forte Samy C/ 6 Marchas Cubo C/ Rolamento,Bicicleta Monark Super 10,0.6
Tênis Usthemp Slip-on Temático - Labrador 2,Tênis Hocks Tempus Nuts,0.8
Tênis Usthemp Slip-on Temático - Labrador 2,Tênis Hocks - On Camu L22c,0.8
Tênis Casual Feminino Moleca Tecido Tie Dye,Tênis Feminino Esportivo Nexx 135 Cadarço Tecido,0.8
Tênis Casual Feminino Moleca Tecido Tie Dye,Tênis Esportivo Casual Feminino Nylon Schiareli Lançamneto ,0.8
Tênis Star Baby Sapatinho Conforto + Brinde,Tênis De Led Infantil Recarregável Masculino Promoção Usb,0.6
Tênis Star Baby Sapatinho Conforto + Brinde,Tênis Infantil Unissex Lançamento Musical Original Usb Dhl ,0.6
Tênis Oakley Frequency 3.0 Preto/marrom,Tênis Oakley Frequency 3.0 Preto/marrom,1.0
Tênis Oakley Frequency 3.0 Preto/marrom,"Tênis Gucci Ace 41,5 Br Preto",0.8
Tênis Jogging Feminino Premium Super Lançamento Vizzano,Tênis Jogging Feminino Premium Lançamento Vizzano ,1.0
Tênis Jogging Feminino Premium Super Lançamento Vizzano,Tenis Feminino Jogging Esportivo Ultraleve Strass Tenis Meia,0.8
Under Armour Hovr Phantom 2 Conexão Bluetooth Tênis Running,Semi Novo - Tênis Under Armour Hovr Machina - Corrida,0.6
Under Armour Hovr Phantom 2 Conexão Bluetooth Tênis Running,Tênis Jogging Kidy Marinho - Semi Novo,0.5
Tenis Infantil Feminino Menina Criança Moça,Tênis Usthemp One Temático - Nina Fancy,0.6
Tenis Infantil Feminino Menina Criança Moça,Tênis Usthemp Amy Temático - Joaninha,0.6
Tênis Labellamafia Saturn 6 Cores Disponíveis,Tênis Marca Everlast  - Tam 43 - Nylon E Couro,0.6
